ts_t_050,,ts_t_060,,ts_t_070,,ts_t_080,,ts_t_090,,ts_t_1,,ts_t_1_25,,ts_t_1_50,,ts_t_2,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.10052378448896937,4.1463391871082145,0.10052378448896937,4.406609217751093,0.10052378448896937,4.681636827451042,0.10052378448896937,4.99154598764952,0.10052378448896937,5.27596478402215,0.10052378448896937,5.486595685109428,0.10052378448896937,5.785772060539128,0.10052378448896937,5.960179813031779,0.10052378448896937,6.072874053103952
0.10267344276340126,4.140972794723826,0.10267344276340126,4.398559629174509,0.10267344276340126,4.674928836970555,0.09998636992036139,4.986179595265131,0.10267344276340126,5.267915195445566,0.10267344276340126,5.479887694628941,0.10267344276340126,5.7790640700586415,0.10267344276340126,5.956155018743487,0.10267344276340126,6.068849258815661
0.10482310103783318,4.1342648042433385,0.10482310103783318,4.390510040597925,0.10482310103783318,4.664196052201776,0.10267344276340126,4.980813202880742,0.10392741009015322,5.2589712081382505,0.10482310103783318,5.469154909860163,0.10482310103783318,5.76967288338596,0.10482310103783318,5.952130224455194,0.10482310103783318,6.066166062623466
0.1069727593122651,4.12889841185895,0.1069727593122651,4.382460452021341,0.1069727593122651,4.658829659817387,0.10482310103783318,4.970080418111963,0.10589793017504914,5.254499214484593,0.1069727593122651,5.459763723187482,0.1069727593122651,5.762964892905474,0.1069727593122651,5.948105430166903,0.1069727593122651,6.062141268335174
0.10912241758669702,4.122190421378463,0.10912241758669702,4.374410863444758,0.10912241758669702,4.6480968750486085,0.1069727593122651,4.964714025727574,0.10589793017504914,5.246449625908009,0.10912241758669702,5.453055732706995,0.10912241758669702,5.7535737062327925,0.10912241758669702,5.944080635878611,0.10912241758669702,6.058116474046882
0.11127207586112894,4.116824028994074,0.11127207586112894,4.367702872964271,0.11127207586112894,4.64273048266422,0.10912241758669702,4.953981240958795,0.10804758844948106,5.243766429715815,0.11127207586112894,5.442322947938217,0.11127207586112894,5.748207313848403,0.11127207586112894,5.940055841590318,0.11127207586112894,6.0554332778546875
0.11342173413556086,4.1087744404174895,0.11342173413556086,4.358311686291589,0.11342173413556086,4.633339295991538,0.11127207586112894,4.945931652382212,0.11019724672391298,5.233033644947036,0.11342173413556086,5.434273359361633,0.11342173413556086,5.737474529079625,0.11342173413556086,5.93468944920593,0.11342173413556086,6.051408483566395
0.11557139240999278,4.103408048033101,0.11557139240999278,4.350262097715006,0.11557139240999278,4.626631305511052,0.11342173413556086,4.9378820638056276,0.1123469049983449,5.222300860178258,0.11557139240999278,5.4262237707850485,0.11557139240999278,5.730766538599138,0.11557139240999278,5.9293230568215405,0.11557139240999278,6.047383689278104
0.11772105068442468,4.098041655648712,0.11772105068442468,4.342212509138422,0.11772105068442468,4.618581716934468,0.11557139240999278,4.927149279036849,0.11449656327277682,5.211568075409479,0.11772105068442468,5.4154909860162705,0.11772105068442468,5.721375351926457,0.11772105068442468,5.923956664437151,0.11772105068442468,6.044700493085909
0.1198707089588566,4.092675263264322,0.1198707089588566,4.336846116754033,0.1198707089588566,4.6105321283578835,0.11772105068442468,4.916416494268071,0.11664622154720874,5.2008352906407005,0.1198707089588566,5.410124593631881,0.1198707089588566,5.71466736144597,0.1198707089588566,5.918590272052762,0.1198707089588566,6.0420172968937145
0.12094553809607256,4.085967272783836,0.12202036723328852,4.326113331985255,0.12202036723328852,4.602482539781301,0.1198707089588566,4.908366905691487,0.11879587982164064,5.190102505871922,0.12202036723328852,5.399391808863102,0.12202036723328852,5.70527617477329,0.12202036723328852,5.915907075860567,0.12202036723328852,6.036650904509325
0.12309519637050448,4.0832840765916405,0.12417002550772044,4.320746939600864,0.12417002550772044,4.594432951204716,0.12094553809607256,4.901658915211001,0.12094553809607256,5.179369721103144,0.12417002550772044,5.391342220286519,0.12417002550772044,5.6999097823889,0.12417002550772044,5.910540683476178,0.12417002550772044,6.033967708317131
0.1252448546449364,4.075234488015058,0.12631968378215236,4.3100141548320865,0.12631968378215236,4.5863833626281325,0.12309519637050448,4.894950924730514,0.12309519637050448,5.168636936334365,0.12631968378215236,5.383292631709935,0.12631968378215236,5.6905185957162185,0.12631968378215236,5.905174291091789,0.12631968378215236,6.031284512124936
0.12739451291936832,4.069868095630667,0.12846934205658428,4.304647762447697,0.12846934205658428,4.578333774051549,0.1252448546449364,4.8869013361539295,0.1252448546449364,5.157904151565587,0.12846934205658428,5.372559846941156,0.12846934205658428,5.683810605235733,0.12846934205658428,5.901149496803496,0.12846934205658428,6.028601315932741
0.12954417119380024,4.064501703246279,0.1306190003310162,4.293914977678918,0.1306190003310162,4.571625783571061,0.12739451291936832,4.878851747577347,0.12739451291936832,5.152537759181198,0.1306190003310162,5.367193454556768,0.1306190003310162,5.6771026147552455,0.1306190003310162,5.897124702515205,0.1306190003310162,6.024576521644449
0.13169382946823216,4.0591353108618895,0.13276865860544812,4.28854858529453,0.13276865860544812,4.5622345968983815,0.12954417119380024,4.868118962808568,0.12954417119380024,5.141804974412419,0.13276865860544812,5.356460669787989,0.13276865860544812,5.667711428082565,0.13276865860544812,5.893099908226913,0.13276865860544812,6.020551727356158
0.13384348774266408,4.0537689184775,0.13491831687988004,4.281840594814042,0.13491831687988004,4.556868204513991,0.13169382946823216,4.860069374231983,0.13169382946823216,5.131072189643641,0.13491831687988004,5.34572788501921,0.13491831687988004,5.661003437602078,0.13491831687988004,5.886391917746426,0.13491831687988004,6.017868531163963
