F_095,,F_09,,F_085,,F_08,,F_075,,F_07,,F_06,,F_05,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1.4382544738525285,1.0180169542105033,0.833651223227911,0.7333110785863031,0.5845181080688178,0.59950444395987,0.43067375434330923,0.5199165286557816,0.35002523898891225,0.4719295296947015,0.2688527985553818,0.41863318361951896,0.19521391547755862,0.375088202112166,0.14280882617292645,0.3280613205720453
1.4377143726989103,1.0140345507064494,0.833694359426536,0.7297725622928404,0.5880013561077921,0.6034947108334645,0.4301390452145194,0.515491810615045,0.3494905298601224,0.46750481165396485,0.26889593475400686,0.41509466732605627,0.1952786197754962,0.3697804276719716,0.1428519623715515,0.3245228042785824
1.4446862608016875,1.0215727699169563,0.8337321036003331,0.7266763605360604,0.5880876285050423,0.5964176782465391,0.43018218141314446,0.5119532943215821,0.3495336660587476,0.46396629536050193,0.2689390709526319,0.41155615103259335,0.19353429974359504,0.36800645150351574,0.14289509857017657,0.3209842879851197
1.4447293970003126,1.0180342536234934,0.8377284926687847,0.7368606035971235,0.5914899961715947,0.6070426631703767,0.43021453356211325,0.5092994071014851,0.34957680225737264,0.46042777906703924,0.2722983024205593,0.42571965224989383,0.19864863529307986,0.38305929981590636,0.1429382347688017,0.3174457716916568
1.4447671411741094,1.0149380518667135,0.8406069352562036,0.7421762414068587,0.5915762685688448,0.5999656305834511,0.4335521969307281,0.5252321664655168,0.3496199384559977,0.45688926277357633,0.27234143861918436,0.42218113595643114,0.19869177149170492,0.37952078352244367,0.14298137096742675,0.3139072553981941
1.4481749008654898,1.0251207222538685,0.8407363438520787,0.7315606925264702,0.5916517569164387,0.5937732270698912,0.4369977007959056,0.5323186350958917,0.3496522906049665,0.45423537555347937,0.27249780733920015,0.4093540143926284,0.19886431628620527,0.36536671834859247,0.14301911514122367,0.31081105364141415
1.4522521703063636,1.0286702472646887,0.8407740880258758,0.7284644907696902,0.5955636709292498,0.6108870645389854,0.43704083699453067,0.528780118802429,0.35289289752667485,0.4781297965778024,0.27565753388848657,0.4398831534671943,0.19890206046000214,0.36227051659181253,0.14616805764085378,0.34222482178934555
1.452338442703614,1.0215932146777629,0.8446842046970773,0.7457257664176788,0.5932882364517773,0.6043934939720041,0.435361221260567,0.5216983681937788,0.35460486540960734,0.48255765996635547,0.27570067008711163,0.4363446371737314,0.20196473056238218,0.40076131732666975,0.1462111938394789,0.33868630549588286
1.4517983415499958,1.017610811173709,0.8424051755363862,0.7395270722084861,0.5951619650795538,0.595551921260072,0.43540435745919204,0.5181598519003159,0.3567050590801655,0.45513887671374365,0.2757438062857367,0.4328061208802687,0.20200786676100724,0.39722280103320684,0.14625433003810395,0.33514778920242017
1.4500594135429226,1.0153945204685704,0.8475626472844962,0.7510414042274141,0.5984457081998873,0.6159078259909323,0.4372780860869685,0.5093182791883837,0.35673741122913427,0.45248498949364646,0.27578694248436175,0.4292676045868058,0.2020510029596323,0.39368428473974415,0.14629207421190088,0.33205158744564023
