 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise =  8   # Spanwise = 64     First strip =  1
     Surface area =    4.174500       Ave. chord =    1.150000
     CLsurf  =   0.04040     Clsurf  =  -0.00703
     CYsurf  =  -0.00005     Cmsurf  =  -0.07783
     CDsurf  =   0.00020     Cnsurf  =  -0.00011
     CDisurf =   0.00020     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.09988     CDsurf  =   0.00049
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    44   2.4673   0.9283   0.0526   0.1022   0.0075   0.1208   0.1101  -0.0001   0.0000  -0.1233  -0.1402    1.370
    45   2.5240   0.9090   0.0516   0.1004   0.0075   0.1212   0.1104  -0.0010   0.0000  -0.1233  -0.1402    1.366
    46   2.5807   0.8897   0.0505   0.0985   0.0075   0.1215   0.1108   0.0000   0.0000  -0.1232  -0.1403    1.363
    47   2.6374   0.8704   0.0494   0.0967   0.0076   0.1219   0.1111  -0.0005   0.0000  -0.1232  -0.1403    1.359
    48   2.6941   0.8511   0.0483   0.0948   0.0077   0.1222   0.1113  -0.0007   0.0000  -0.1231  -0.1403    1.355
    49   2.7509   0.8319   0.0472   0.0928   0.0078   0.1225   0.1116  -0.0005   0.0000  -0.1230  -0.1402    1.352
    50   2.8076   0.8126   0.0461   0.0909   0.0080   0.1227   0.1118  -0.0001   0.0000  -0.1228  -0.1401    1.349
    51   2.8643   0.7933   0.0450   0.0888   0.0083   0.1229   0.1120  -0.0007   0.0000  -0.1227  -0.1400    1.345
    52   2.9210   0.7740   0.0439   0.0868   0.0086   0.1230   0.1121   0.0003   0.0000  -0.1224  -0.1398    1.342
    53   2.9777   0.7547   0.0428   0.0846   0.0090   0.1231   0.1121  -0.0009   0.0000  -0.1221  -0.1395    1.339
    54   3.0345   0.7355   0.0417   0.0824   0.0095   0.1230   0.1121   0.0010   0.0000  -0.1217  -0.1391    1.336
    55   3.0912   0.7162   0.0406   0.0801   0.0102   0.1228   0.1119  -0.0015   0.0000  -0.1211  -0.1386    1.332
    56   3.1479   0.6969   0.0395   0.0777   0.0110   0.1223   0.1115   0.0004   0.0000  -0.1203  -0.1378    1.329
    57   3.2046   0.6776   0.0384   0.0751   0.0121   0.1216   0.1109  -0.0015   0.0000  -0.1193  -0.1366    1.326
    58   3.2613   0.6583   0.0373   0.0723   0.0135   0.1205   0.1098  -0.0014   0.0000  -0.1178  -0.1350    1.323
    59   3.3180   0.6390   0.0362   0.0691   0.0154   0.1187   0.1082  -0.0012   0.0000  -0.1158  -0.1327    1.320
    60   3.3748   0.6198   0.0352   0.0655   0.0178   0.1160   0.1057  -0.0007   0.0000  -0.1128  -0.1294    1.317
    61   3.4315   0.6005   0.0341   0.0611   0.0211   0.1117   0.1018  -0.0026   0.0000  -0.1083  -0.1243    1.314
    62   3.4882   0.5812   0.0330   0.0555   0.0256   0.1047   0.0954  -0.0028   0.0000  -0.1012  -0.1163    1.311
    63   3.5449   0.5619   0.0319   0.0475   0.0321   0.0928   0.0846  -0.0002   0.0000  -0.0894  -0.1028    1.308
    64   3.6016   0.5426   0.0308   0.0344   0.0416   0.0696   0.0634  -0.0007   0.0000  -0.0669  -0.0769    1.305
