 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise =  8   # Spanwise = 64     First strip =  1
     Surface area =    6.021090       Ave. chord =    1.347000
     CLsurf  =   0.05900     Clsurf  =  -0.01233
     CYsurf  =  -0.00007     Cmsurf  =  -0.13557
     CDsurf  =   0.00029     Cnsurf  =  -0.00018
     CDisurf =   0.00029     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.10112     CDsurf  =   0.00050
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    44   3.0382   1.0545   0.0736   0.1174   0.0065   0.1218   0.1114  -0.0011   0.0000  -0.1240  -0.1411    1.363
    45   3.1080   1.0290   0.0719   0.1150   0.0064   0.1222   0.1117  -0.0003   0.0000  -0.1240  -0.1412    1.360
    46   3.1779   1.0036   0.0701   0.1125   0.0064   0.1226   0.1121  -0.0009   0.0000  -0.1240  -0.1413    1.356
    47   3.2477   0.9782   0.0683   0.1100   0.0064   0.1230   0.1124  -0.0006   0.0000  -0.1239  -0.1413    1.352
    48   3.3176   0.9527   0.0665   0.1074   0.0064   0.1233   0.1128  -0.0004   0.0000  -0.1239  -0.1414    1.349
    49   3.3874   0.9273   0.0648   0.1049   0.0064   0.1237   0.1131  -0.0005   0.0000  -0.1239  -0.1414    1.345
    50   3.4573   0.9018   0.0630   0.1022   0.0065   0.1240   0.1134  -0.0006   0.0000  -0.1238  -0.1414    1.342
    51   3.5271   0.8764   0.0612   0.0996   0.0066   0.1243   0.1136  -0.0003   0.0000  -0.1237  -0.1413    1.338
    52   3.5970   0.8510   0.0594   0.0969   0.0068   0.1245   0.1138  -0.0002   0.0000  -0.1235  -0.1413    1.335
    53   3.6668   0.8255   0.0577   0.0941   0.0070   0.1247   0.1140  -0.0006   0.0000  -0.1233  -0.1411    1.332
    54   3.7366   0.8001   0.0559   0.0913   0.0073   0.1247   0.1141  -0.0003   0.0000  -0.1230  -0.1409    1.329
    55   3.8065   0.7747   0.0541   0.0883   0.0078   0.1247   0.1140  -0.0003   0.0000  -0.1227  -0.1405    1.326
    56   3.8763   0.7492   0.0523   0.0853   0.0084   0.1245   0.1139  -0.0004   0.0000  -0.1222  -0.1400    1.323
    57   3.9462   0.7238   0.0506   0.0821   0.0092   0.1241   0.1135   0.0002   0.0000  -0.1214  -0.1392    1.320
    58   4.0160   0.6983   0.0488   0.0787   0.0103   0.1233   0.1128  -0.0008   0.0000  -0.1204  -0.1381    1.317
    59   4.0859   0.6729   0.0470   0.0751   0.0117   0.1220   0.1116  -0.0003   0.0000  -0.1188  -0.1364    1.315
    60   4.1557   0.6475   0.0452   0.0709   0.0138   0.1198   0.1096  -0.0000   0.0000  -0.1164  -0.1337    1.313
    61   4.2255   0.6220   0.0434   0.0661   0.0167   0.1162   0.1063   0.0003   0.0000  -0.1127  -0.1294    1.311
    62   4.2954   0.5966   0.0417   0.0601   0.0209   0.1101   0.1007   0.0004   0.0000  -0.1065  -0.1224    1.308
    63   4.3652   0.5712   0.0399   0.0517   0.0274   0.0989   0.0905  -0.0009   0.0000  -0.0956  -0.1098    1.306
    64   4.4351   0.5457   0.0381   0.0378   0.0378   0.0758   0.0693  -0.0012   0.0000  -0.0731  -0.0840    1.304

  Surface # 2     Wing (YDUP)                             
     # Chordwise =  8   # Spanwise = 64     First strip = 65
     Surface area =    6.021090       Ave. chord =    1.347000
     CLsurf  =   0.05900     Clsurf  =   0.01233
     CYsurf  =   0.00003     Cmsurf  =  -0.13557
     CDsurf  =   0.00019     Cnsurf  =   0.00021
     CDisurf =   0.00019     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.10112     CDsurf  =   0.00032
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    65  -0.0349   2.1483   0.1500   0.1838   0.0113   0.0935   0.0855   0.0130   0.0000  -0.1107   0.1228    1.545
    66  -0.1048   2.1228   0.1483   0.1840   0.0121   0.0947   0.0866   0.0051   0.0000  -0.1120   0.1242    1.542
    67  -0.1746   2.0974   0.1465   0.1840   0.0125   0.0959   0.0877   0.0035   0.0000  -0.1131   0.1255    1.539
    68  -0.2445   2.0720   0.1447   0.1838   0.0126   0.0970   0.0887   0.0024   0.0000  -0.1141   0.1266    1.536
    69  -0.3143   2.0465   0.1429   0.1836   0.0126   0.0981   0.0897   0.0023   0.0000  -0.1150   0.1277    1.532
    70  -0.3841   2.0211   0.1412   0.1831   0.0126   0.0991   0.0906   0.0019   0.0000  -0.1157   0.1286    1.528
    71  -0.4540   1.9957   0.1394   0.1826   0.0125   0.1000   0.0915   0.0014   0.0000  -0.1164   0.1295    1.523
    72  -0.5238   1.9702   0.1376   0.1819   0.0123   0.1010   0.0923   0.0007   0.0000  -0.1171   0.1303    1.518
