 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise =  8   # Spanwise = 64     First strip =  1
     Surface area =    4.174500       Ave. chord =    1.150000
     CLsurf  =   0.02670     Clsurf  =  -0.00458
     CYsurf  =  -0.00053     Cmsurf  =  -0.05370
     CDsurf  =   0.00205     Cnsurf  =   0.00041
     CDisurf =   0.00205     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.06600     CDsurf  =   0.00507
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    44   2.7860   0.8199   0.0617   0.0585   0.0045   0.0783   0.0714  -0.0056   0.0000  -0.0864  -0.0969    1.461
    45   2.8601   0.7947   0.0579   0.0568   0.0047   0.0782   0.0713   0.0191   0.0000  -0.0863  -0.0968    1.462
    46   2.9316   0.7704   0.0541   0.0551   0.0049   0.0783   0.0714   0.0161   0.0000  -0.0862  -0.0968    1.459
    47   3.0005   0.7470   0.0504   0.0534   0.0052   0.0783   0.0714   0.0191   0.0000  -0.0861  -0.0967    1.457
    48   3.0665   0.7246   0.0467   0.0518   0.0056   0.0783   0.0713   0.0204   0.0000  -0.0859  -0.0965    1.455
    49   3.1295   0.7031   0.0432   0.0502   0.0062   0.0782   0.0713   0.0170   0.0000  -0.0857  -0.0962    1.452
    50   3.1893   0.6828   0.0397   0.0486   0.0070   0.0779   0.0709   0.0368   0.0000  -0.0853  -0.0958    1.453
    51   3.2458   0.6636   0.0364   0.0471   0.0080   0.0778   0.0708   0.0138   0.0000  -0.0848  -0.0953    1.447
    52   3.2989   0.6456   0.0331   0.0455   0.0093   0.0774   0.0705  -0.0032   0.0000  -0.0840  -0.0945    1.442
    53   3.3484   0.6287   0.0300   0.0439   0.0109   0.0766   0.0698  -0.0035   0.0000  -0.0830  -0.0933    1.439
    54   3.3942   0.6132   0.0269   0.0421   0.0130   0.0757   0.0690  -0.0280   0.0000  -0.0815  -0.0917    1.432
    55   3.4362   0.5989   0.0240   0.0403   0.0155   0.0738   0.0673  -0.0060   0.0000  -0.0795  -0.0895    1.431
    56   3.4743   0.5859   0.0212   0.0382   0.0186   0.0715   0.0652  -0.0035   0.0000  -0.0767  -0.0864    1.427
    57   3.5084   0.5743   0.0184   0.0358   0.0225   0.0684   0.0623  -0.0045   0.0000  -0.0731  -0.0824    1.423
    58   3.5384   0.5641   0.0158   0.0330   0.0271   0.0642   0.0585  -0.0028   0.0000  -0.0683  -0.0771    1.418
    59   3.5643   0.5554   0.0132   0.0297   0.0326   0.0586   0.0534   0.0108   0.0000  -0.0622  -0.0703    1.415
    60   3.5859   0.5480   0.0107   0.0259   0.0394   0.0518   0.0472   0.0086   0.0000  -0.0546  -0.0618    1.409
    61   3.6033   0.5421   0.0083   0.0214   0.0474   0.0432   0.0394   0.0059   0.0000  -0.0454  -0.0513    1.403
    62   3.6164   0.5376   0.0059   0.0161   0.0558   0.0328   0.0299  -0.0018   0.0000  -0.0343  -0.0388    1.395
    63   3.6251   0.5347   0.0035   0.0100   0.0627   0.0206   0.0187   0.0019   0.0000  -0.0214  -0.0243    1.393
    64   3.6295   0.5332   0.0012   0.0034   0.0661   0.0070   0.0064  -0.0004   0.0000  -0.0073  -0.0083    1.388

  Surface # 2     Wing (YDUP)                             
     # Chordwise =  8   # Spanwise = 64     First strip = 65
     Surface area =    4.174500       Ave. chord =    1.150000
     CLsurf  =   0.02670     Clsurf  =   0.00458
     CYsurf  =   0.00049     Cmsurf  =  -0.05370
     CDsurf  =   0.00196     Cnsurf  =  -0.00039
     CDisurf =   0.00196     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.06601     CDsurf  =   0.00486
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    65  -0.0005   1.7668   0.0039   0.1017   0.0057   0.0612   0.0558   0.2131   0.0000  -0.0794   0.0872    1.673
    66  -0.0049   1.7653   0.0116   0.1017   0.0060   0.0630   0.0574   0.0235   0.0000  -0.0795   0.0873    1.634
    67  -0.0136   1.7624   0.0192   0.1017   0.0067   0.0633   0.0577   0.0081   0.0000  -0.0796   0.0874    1.631
    68  -0.0267   1.7579   0.0268   0.1018   0.0073   0.0635   0.0579   0.0053   0.0000  -0.0799   0.0877    1.630
    69  -0.0441   1.7520   0.0342   0.1019   0.0079   0.0638   0.0581   0.0034   0.0000  -0.0802   0.0881    1.630
    70  -0.0657   1.7446   0.0415   0.1020   0.0083   0.0641   0.0584   0.0019   0.0000  -0.0806   0.0885    1.629
    71  -0.0916   1.7359   0.0485   0.1020   0.0086   0.0645   0.0588   0.0021   0.0000  -0.0809   0.0889    1.627
    72  -0.1216   1.7257   0.0553   0.1021   0.0088   0.0649   0.0591   0.0011   0.0000  -0.0813   0.0893    1.625
    73  -0.1557   1.7141   0.0619   0.1021   0.0089   0.0654   0.0595   0.0031   0.0000  -0.0817   0.0898    1.623
    74  -0.1938   1.7011   0.0681   0.1020   0.0089   0.0658   0.0600   0.0013   0.0000  -0.0821   0.0903    1.620
    75  -0.2358   1.6868   0.0741   0.1019   0.0089   0.0663   0.0604  -0.0010   0.0000  -0.0825   0.0908    1.616
    76  -0.2816   1.6713   0.0797   0.1017   0.0089   0.0668   0.0609   0.0019   0.0000  -0.0829   0.0912    1.612
    77  -0.3311   1.6544   0.0849   0.1015   0.0088   0.0673   0.0613  -0.0016   0.0000  -0.0833   0.0917    1.608
    78  -0.3842   1.6364   0.0897   0.1011   0.0086   0.0679   0.0618  -0.0019   0.0000  -0.0836   0.0921    1.603
