 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise =  8   # Spanwise = 64     First strip =  1
     Surface area =    4.174500       Ave. chord =    1.150000
     CLsurf  =   0.11972     Clsurf  =  -0.02061
     CYsurf  =  -0.00081     Cmsurf  =  -0.12182
     CDsurf  =   0.00604     Cnsurf  =   0.00124
     CDisurf =   0.00604     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.29596     CDsurf  =   0.01493
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    44   2.7860   0.8199   0.0617   0.2724   0.0262   0.3649   0.3324  -0.0167   0.0000  -0.0839  -0.1552    0.502
    45   2.8601   0.7947   0.0579   0.2632   0.0268   0.3630   0.3306   0.0594   0.0000  -0.0835  -0.1546    0.503
    46   2.9316   0.7704   0.0541   0.2537   0.0275   0.3611   0.3289   0.0489   0.0000  -0.0831  -0.1537    0.503
    47   3.0005   0.7470   0.0504   0.2441   0.0285   0.3583   0.3264   0.0553   0.0000  -0.0825  -0.1526    0.503
    48   3.0665   0.7246   0.0467   0.2343   0.0297   0.3545   0.3229   0.0581   0.0000  -0.0818  -0.1512    0.503
    49   3.1295   0.7031   0.0432   0.2243   0.0312   0.3497   0.3186   0.0533   0.0000  -0.0810  -0.1494    0.504
    50   3.1893   0.6828   0.0397   0.2140   0.0329   0.3430   0.3125   0.1120   0.0000  -0.0800  -0.1472    0.506
    51   3.2458   0.6636   0.0364   0.2034   0.0349   0.3361   0.3062   0.0414   0.0000  -0.0788  -0.1444    0.507
    52   3.2989   0.6456   0.0331   0.1925   0.0374   0.3274   0.2982  -0.0090   0.0000  -0.0773  -0.1411    0.509
    53   3.3484   0.6287   0.0300   0.1811   0.0402   0.3163   0.2881  -0.0092   0.0000  -0.0754  -0.1370    0.512
    54   3.3942   0.6132   0.0269   0.1693   0.0434   0.3037   0.2766  -0.0673   0.0000  -0.0732  -0.1322    0.515
    55   3.4362   0.5989   0.0240   0.1569   0.0472   0.2877   0.2620  -0.0083   0.0000  -0.0705  -0.1264    0.519
    56   3.4743   0.5859   0.0212   0.1439   0.0515   0.2696   0.2456  -0.0046   0.0000  -0.0672  -0.1195    0.524
    57   3.5084   0.5743   0.0184   0.1302   0.0565   0.2489   0.2267  -0.0058   0.0000  -0.0632  -0.1114    0.529
    58   3.5384   0.5641   0.0158   0.1157   0.0622   0.2252   0.2051  -0.0011   0.0000  -0.0584  -0.1019    0.535
    59   3.5643   0.5554   0.0132   0.1004   0.0687   0.1982   0.1806   0.0276   0.0000  -0.0527  -0.0910    0.542
    60   3.5859   0.5480   0.0107   0.0842   0.0764   0.1685   0.1535   0.0232   0.0000  -0.0459  -0.0784    0.549
    61   3.6033   0.5421   0.0083   0.0670   0.0851   0.1356   0.1235   0.0173   0.0000  -0.0379  -0.0639    0.557
    62   3.6164   0.5376   0.0059   0.0489   0.0942   0.0998   0.0909  -0.0017   0.0000  -0.0285  -0.0476    0.563
    63   3.6251   0.5347   0.0035   0.0298   0.1015   0.0611   0.0556   0.0073   0.0000  -0.0178  -0.0295    0.570
    64   3.6295   0.5332   0.0012   0.0100   0.1051   0.0206   0.0187   0.0021   0.0000  -0.0060  -0.0100    0.572

  Surface # 2     Wing (YDUP)                             
     # Chordwise =  8   # Spanwise = 64     First strip = 65
     Surface area =    4.174500       Ave. chord =    1.150000
     CLsurf  =   0.11972     Clsurf  =   0.02061
     CYsurf  =   0.00080     Cmsurf  =  -0.12182
     CDsurf  =   0.00603     Cnsurf  =  -0.00124
     CDisurf =   0.00603     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.29596     CDsurf  =   0.01490
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    65  -0.0005   1.7668   0.0039   0.4420   0.0294   0.2719   0.2477   0.2909   0.0000  -0.0850   0.1371    0.593
    66  -0.0049   1.7653   0.0116   0.4420   0.0299   0.2745   0.2501   0.0353   0.0000  -0.0850   0.1372    0.590
    67  -0.0136   1.7624   0.0192   0.4420   0.0306   0.2752   0.2507   0.0141   0.0000  -0.0851   0.1374    0.590
    68  -0.0267   1.7579   0.0268   0.4421   0.0313   0.2760   0.2514   0.0105   0.0000  -0.0853   0.1377    0.589
    69  -0.0441   1.7520   0.0342   0.4422   0.0320   0.2770   0.2523   0.0080   0.0000  -0.0854   0.1380    0.588
    70  -0.0657   1.7446   0.0415   0.4422   0.0325   0.2782   0.2534   0.0062   0.0000  -0.0855   0.1384    0.587
    71  -0.0916   1.7359   0.0485   0.4423   0.0328   0.2797   0.2548   0.0041   0.0000  -0.0856   0.1387    0.586
    72  -0.1216   1.7257   0.0553   0.4422   0.0331   0.2813   0.2563   0.0038   0.0000  -0.0856   0.1391    0.584
    73  -0.1557   1.7141   0.0619   0.4421   0.0333   0.2831   0.2579   0.0072   0.0000  -0.0856   0.1395    0.582
    74  -0.1938   1.7011   0.0681   0.4419   0.0334   0.2851   0.2597   0.0084   0.0000  -0.0856   0.1399    0.580
    75  -0.2358   1.6868   0.0741   0.4416   0.0334   0.2873   0.2617   0.0042   0.0000  -0.0856   0.1404    0.577
    76  -0.2816   1.6713   0.0797   0.4411   0.0334   0.2897   0.2639   0.0051   0.0000  -0.0856   0.1408    0.574
    77  -0.3311   1.6544   0.0849   0.4403   0.0333   0.2921   0.2661   0.0059   0.0000  -0.0855   0.1413    0.571
    78  -0.3842   1.6364   0.0897   0.4394   0.0332   0.2947   0.2685   0.0047   0.0000  -0.0855   0.1419    0.568
    79  -0.4407   1.6172   0.0941   0.4382   0.0330   0.2974   0.2710   0.0057   0.0000  -0.0855   0.1424    0.566
    80  -0.5005   1.5969   0.0981   0.4368   0.0328   0.3003   0.2735   0.0044   0.0000  -0.0855   0.1430    0.563
    81  -0.5635   1.5754   0.1016   0.4351   0.0325   0.3031   0.2761   0.0077   0.0000  -0.0855   0.1436    0.560
    82  -0.6295   1.5530   0.1048   0.4331   0.0322   0.3061   0.2788   0.0055   0.0000  -0.0855   0.1442    0.557
    83  -0.6984   1.5296   0.1074   0.4308   0.0319   0.3091   0.2816   0.0034   0.0000  -0.0855   0.1449    0.554
    84  -0.7699   1.5053   0.1096   0.4281   0.0316   0.3122   0.2844   0.0051   0.0000  -0.0855   0.1455    0.551
    85  -0.8440   1.4801   0.1114   0.4251   0.0312   0.3153   0.2872   0.0074   0.0000  -0.0855   0.1462    0.548
    86  -0.9204   1.4541   0.1127   0.4218   0.0308   0.3184   0.2900   0.0066   0.0000  -0.0855   0.1469    0.545
